condition	systematic_id	better_than_wild_type	severity	allele_type	expression	evidence	file	sheet_name
YES-KCl1SDS0.01	SPNCRNA.1122	True	fitness_log2(0.164)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-KCl1	SPNCRNA.1122	True	fitness_log2(0.0885)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Glycerol2MMS0.0075	SPNCRNA.1130	True	fitness_log2(0.11)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-MMS0.075	SPNCRNA.1130	True	fitness_log2(0.101)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Glycerol2MMS0.0075	SPNCRNA.115	True	fitness_log2(0.0741)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Bref60	SPNCRNA.1154	True	fitness_log2(0.234)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-KCl1SDS0.01	SPNCRNA.1164	True	fitness_log2(0.106)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-EGTA10	SPNCRNA.1166	True	fitness_log2(0.125)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
EMM-3AT4	SPNCRNA.1234	True	fitness_log2(0.0126)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
EMM-3AT6	SPNCRNA.1234	False	fitness_log2(-0.00384)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
EMM-Bleo200	SPNCRNA.1234	False	fitness_log2(-0.0133)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
EMM-Met	SPNCRNA.1234	False	fitness_log2(-0.102)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
EMMphlox-Act2	SPNCRNA.1234	False	fitness_log2(-0.552)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
EMMphlox-Cana75	SPNCRNA.1234	False	fitness_log2(-0.248)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Bref60	SPNCRNA.1234	True	fitness_log2(0.227)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Tuni60	SPNCRNA.1234	True	fitness_log2(0.0536)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
EMM-Canav60	SPNCRNA.1343	True	fitness_log2(0.174)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
EMMphlox-Cana75	SPNCRNA.1343	True	fitness_log2(0.0276)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Bleo600	SPNCRNA.1343	True	fitness_log2(0.0624)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Dhcumarin200	SPNCRNA.1343	False	fitness_log2(-0.194)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Forma2	SPNCRNA.1343	True	fitness_log2(0.149)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-KCl0.5SDS0.01	SPNCRNA.1343	True	fitness_log2(0.058)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-UV3000	SPNCRNA.1343	True	fitness_log2(0.064)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-UV4000	SPNCRNA.1343	False	fitness_log2(-0.00619)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Forma2.5	SPNCRNA.1343	True	fitness_log2(0.138)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Gluc0.1stationary7	SPNCRNA.1343	True	fitness_log2(0.226)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Gluc0.5stationary7	SPNCRNA.1343	True	fitness_log2(0.139)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Gluc1stationary7	SPNCRNA.1343	True	fitness_log2(0.113)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Glycerol3MMS0.005	SPNCRNA.1343	True	fitness_log2(0.128)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-HP2	SPNCRNA.1343	False	fitness_log2(-0.0731)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-HP6	SPNCRNA.1343	False	fitness_log2(-0.0419)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-HU8MMS0.075	SPNCRNA.1343	True	fitness_log2(0.0311)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-MMS0.005	SPNCRNA.1343	True	fitness_log2(0.0923)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-MMS0.075	SPNCRNA.1343	True	fitness_log2(0.116)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Ovana1	SPNCRNA.1343	False	fitness_log2(-0.0148)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Temp25Gluc0.1	SPNCRNA.1343	True	fitness_log2(0.0704)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Temp25Gluc0.5	SPNCRNA.1343	True	fitness_log2(0.0358)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Temp25Gluc1	SPNCRNA.1343	False	fitness_log2(-0.0503)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Tuni40	SPNCRNA.1343	True	fitness_log2(0.0642)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-VPA8	SPNCRNA.1343	True	fitness_log2(0.0431)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
Yesphlox-Rapa1	SPNCRNA.1343	False	fitness_log2(-0.493)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-MMS0.075	SPNCRNA.1348	False	fitness_log2(-0.127)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-MMS0.075	SPNCRNA.144	True	fitness_log2(0.0821)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Glycerol2MMS0.0075	SPNCRNA.145	True	fitness_log2(0.0927)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-MMS0.075	SPNCRNA.145	True	fitness_log2(0.0998)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Bref60	SPNCRNA.1460	False	fitness_log2(-0.206)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Bort500	SPNCRNA.1519	True	fitness_log2(0.161)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-EGTA10	SPNCRNA.1519	False	fitness_log2(-0.653)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-SDS0.02	SPNCRNA.1530	True	fitness_log2(0.145)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Bref60	SPNCRNA.1670	True	fitness_log2(0.138)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Calco2	SPNCRNA.1670	False	fitness_log2(-0.134)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Cana60	SPNCRNA.1670	False	fitness_log2(-0.123)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-KCl0.5SDS0.01	SPNCRNA.1670	False	fitness_log2(-0.121)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-KCl1SDS0.01	SPNCRNA.1670	False	fitness_log2(-0.165)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-EGTA10	SPNCRNA.1670	True	fitness_log2(0.0957)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Glycerol2MMS0.0075	SPNCRNA.1670	True	fitness_log2(0.0928)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-HP4	SPNCRNA.1670	False	fitness_log2(-0.0818)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-HP6	SPNCRNA.1670	False	fitness_log2(-0.0741)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
Yesphlox-Gal2	SPNCRNA.175	False	fitness_log2(-0.0929)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
EMM-Bleo200	SPNCRNA.189	False	fitness_log2(-0.0784)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Bref60	SPNCRNA.189	True	fitness_log2(1.35)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-CoCl5	SPNCRNA.189	True	fitness_log2(0.0334)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Forma2	SPNCRNA.189	True	fitness_log2(0.0387)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Forma3	SPNCRNA.189	True	fitness_log2(0.0592)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-KCl1SDS0.01	SPNCRNA.189	True	fitness_log2(0.228)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-SDS0.02	SPNCRNA.189	True	fitness_log2(0.0488)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-VPA5	SPNCRNA.189	True	fitness_log2(0.0601)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Bort500	SPNCRNA.189	True	fitness_log2(0.218)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Diamide3.5	SPNCRNA.189	True	fitness_log2(0.238)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-EGTA5	SPNCRNA.189	False	fitness_log2(-0.146)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Gluc0.1stationary7	SPNCRNA.189	True	fitness_log2(0.0569)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Gluc0.5stationary7	SPNCRNA.189	True	fitness_log2(0.0422)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Glycerol3MMS0.005	SPNCRNA.189	True	fitness_log2(0.0113)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-HP10	SPNCRNA.189	True	fitness_log2(0.177)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-HP4	SPNCRNA.189	True	fitness_log2(0.0186)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-HP6	SPNCRNA.189	True	fitness_log2(0.056)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-HU8	SPNCRNA.189	False	fitness_log2(-0.653)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-MMS0.075	SPNCRNA.189	True	fitness_log2(0.112)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-NaCl150MMS0.005	SPNCRNA.189	True	fitness_log2(0.0407)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Ovana1	SPNCRNA.189	False	fitness_log2(-0.194)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Phloxine2HP10	SPNCRNA.189	True	fitness_log2(0.141)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-TBH1	SPNCRNA.189	True	fitness_log2(0.0706)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Temp25Gluc0.1	SPNCRNA.189	True	fitness_log2(0.0212)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-VPA8	SPNCRNA.189	True	fitness_log2(0.0749)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Xylose2	SPNCRNA.189	True	fitness_log2(0.143)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
EMM-3AT6	SPNCRNA.236	False	fitness_log2(-0.092)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
EMM-Bleo200	SPNCRNA.236	False	fitness_log2(-0.0822)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
EMMphlox-Cana75	SPNCRNA.236	False	fitness_log2(-0.105)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Bref60	SPNCRNA.236	True	fitness_log2(0.191)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Calco10KCl0.5	SPNCRNA.236	False	fitness_log2(-0.0227)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-CoCl5	SPNCRNA.236	False	fitness_log2(-0.0184)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Dhcumarin100	SPNCRNA.236	False	fitness_log2(-0.213)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Dhcumarin200	SPNCRNA.236	False	fitness_log2(-0.212)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-EtOH5	SPNCRNA.236	False	fitness_log2(-0.056)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Forma3	SPNCRNA.236	False	fitness_log2(-0.0313)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-HU30	SPNCRNA.236	False	fitness_log2(-0.0324)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-HU45	SPNCRNA.236	False	fitness_log2(-0.00479)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-KCl0.5SDS0.01	SPNCRNA.236	False	fitness_log2(-0.0388)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-SDS0.02	SPNCRNA.236	True	fitness_log2(0.0223)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-VPA5	SPNCRNA.236	False	fitness_log2(-0.0592)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Diamide3.5	SPNCRNA.236	True	fitness_log2(0.00979)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Gluc0.1stationary7	SPNCRNA.236	False	fitness_log2(0.0)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Gluc0.5stationary7	SPNCRNA.236	False	fitness_log2(-0.0123)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Gluc1stationary7	SPNCRNA.236	False	fitness_log2(-0.0394)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Glycerol3MMS0.005	SPNCRNA.236	False	fitness_log2(-0.02)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-HU8MMS0.075	SPNCRNA.236	True	fitness_log2(0.0538)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-KCl0.5SDS0.004	SPNCRNA.236	True	fitness_log2(0.00565)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-KCl1	SPNCRNA.236	False	fitness_log2(-0.0452)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Ovana1	SPNCRNA.236	False	fitness_log2(-0.0446)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-TBH1	SPNCRNA.236	False	fitness_log2(-0.0254)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Temp25Gluc0.1	SPNCRNA.236	True	fitness_log2(0.0179)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Temp25Gluc0.5	SPNCRNA.236	False	fitness_log2(-0.0326)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Xylose2	SPNCRNA.236	False	fitness_log2(-0.0103)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-VPA10	SPNCRNA.253	True	fitness_log2(0.105)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
Yesphlox-Gal2	SPNCRNA.253	False	fitness_log2(-0.107)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Glycerol2MMS0.0075	SPNCRNA.282	False	fitness_log2(-0.136)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Glycerol3MMS0.005	SPNCRNA.282	False	fitness_log2(-0.0709)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-MMS0.005	SPNCRNA.282	False	fitness_log2(-0.105)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-MMS0.075	SPNCRNA.282	False	fitness_log2(-0.17)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Temp25Gluc0.1	SPNCRNA.282	True	fitness_log2(0.116)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Temp25Gluc0.5	SPNCRNA.282	True	fitness_log2(0.0737)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Glycerol2MMS0.0075	SPNCRNA.31	False	fitness_log2(-0.229)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-MMS0.005	SPNCRNA.31	False	fitness_log2(-0.0772)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-MMS0.075	SPNCRNA.31	False	fitness_log2(-0.151)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
Yesphlox-Gal2	SPNCRNA.311	False	fitness_log2(-0.0755)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Temp25Gluc1	SPNCRNA.3461	False	fitness_log2(-0.0883)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Bref60	SPNCRNA.382	False	fitness_log2(-0.236)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-MMS0.075	SPNCRNA.382	True	fitness_log2(0.0926)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Bref60	SPNCRNA.383	False	fitness_log2(-0.143)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Glycerol2MMS0.0075	SPNCRNA.383	True	fitness_log2(0.101)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-MMS0.075	SPNCRNA.383	True	fitness_log2(0.085)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Bref60	SPNCRNA.401	False	fitness_log2(-0.142)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-SDS0.02	SPNCRNA.401	True	fitness_log2(0.0894)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Tuni40	SPNCRNA.405	False	fitness_log2(-0.11)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YES-Bref60	SPNCRNA.412	False	fitness_log2(-0.121)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-HP6	SPNCRNA.4302	True	fitness_log2(0.157)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
Yesphlox-Gal2	SPNCRNA.4302	False	fitness_log2(-0.0474)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-HP6	SPNCRNA.4320	True	fitness_log2(0.0876)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
EMMphlox-Act1	SPNCRNA.4472	True	fitness_log2(0.0147)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
EMMphlox-Act2	SPNCRNA.4472	True	fitness_log2(0.00812)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-HP6	SPNCRNA.4472	True	fitness_log2(0.113)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-Ovana4	SPNCRNA.4472	False	fitness_log2(-0.138)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
Yesphlox-Gal2	SPNCRNA.5036	False	fitness_log2(-0.16)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-HP6	SPNCRNA.5040	True	fitness_log2(0.173)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
YESphlox-VPA8	SPNCRNA.5040	False	fitness_log2(-0.0377)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
Yesphlox-Gal2	SPNCRNA.5040	False	fitness_log2(-0.0858)	deletion	null	ECO:0001563	data/elife-76000-supp2-v2.xlsx	growth_stresses
